comments,authors,likes,datetimes,sentimen,kategori
om gakhit,azuracwaan,0 likes,2023-07-12T20:26:16.000Z,netral,engagement
"Heal naww, ga salah denger gw sena ngomong r tadi",_.bomna._,0 likes,2023-07-12T20:35:30.000Z,negatif,engagement
Kusing,kennethhanaoka2.0,0 likes,2023-07-12T20:39:51.000Z,netral,engagement
Om om satu ini terlalu kwaii,only_boiiii,0 likes,2023-07-12T21:16:07.000Z,positif,engagement
Gumushh sampe pengen ku bunuh😍😋😘🔥,anisuka_rrr,0 likes,2023-07-12T22:19:24.000Z,positif,engagement
Sena bisa mendezah?? Kok ada ahh nya tdi🗿,alldyuu_sannime.id,0 likes,2023-07-12T22:29:29.000Z,netral,pertanyaan
EHE..!!!. Macam kenal SEPERTINYA tertular vtuber biru ni,nurmuhamadsyam,0 likes,2023-07-12T22:36:14.000Z,netral,engagement
Anak buah garit,dava_putra1706,0 likes,2023-07-12T22:46:58.000Z,netral,engagement
sena bisa bilang R ?😂,sanmahen,0 likes,2023-07-12T23:12:22.000Z,negatif,pertanyaan
"""Mencintai wanita adalah hal yang mudah, tetapi dicintai oleh wanita adalah hal yang mustahil"" ~putraa",putradeh_,0 likes,2023-07-12T23:21:50.000Z,negatif,engagement
Iya jago jago mati maksudnya 🤣🤣🤣,muhammad.rizki_w,0 likes,2023-07-12T23:24:13.000Z,positif,engagement
👏,piraaa478,0 likes,2023-07-12T23:35:52.000Z,netral,engagement
Rip aim moment🗿👍,piraaa478,0 likes,2023-07-12T23:36:00.000Z,negatif,engagement
Jago bgt yh sen,oniyonz,0 likes,2023-07-12T23:50:09.000Z,positif,engagement
gausah sok imut lo kon,maulanaxmi,0 likes,2023-07-12T23:51:04.000Z,negatif,engagement
Wkwkwkwk Senuuuutt,yuda_lim,0 likes,2023-07-12T23:51:57.000Z,positif,engagement
"seumuran SMP, langsung mau aku lamar",ynnzkdr,0 likes,2023-07-13T00:01:04.000Z,netral,engagement
Wkwkwk Clara Indonesia,raihan_ramadhanicr,0 likes,2023-07-13T00:14:28.000Z,positif,engagement
"dengan kriteria sempurna, langsung mau aku lamar",instrumen.ilahi,0 likes,2023-07-13T00:16:21.000Z,netral,engagement
Kucing skill issue,malfjr_,0 likes,2023-07-13T00:18:36.000Z,negatif,feedback
Beliau terlalu barbar untuk promosi di ig💀,zennakur,0 likes,2023-07-13T00:37:56.000Z,negatif,feedback
Gimana caranya jadi anime kaya Sena?.,justmepra_,0 likes,2023-07-13T01:13:45.000Z,netral,pertanyaan
Lebih baik ku lindungi karena aku suka kucing,aozoraikki,0 likes,2023-07-13T01:21:09.000Z,netral,engagement
Cocok buat temen Mabar ini mah👏,kz.rzxn.eve,0 likes,2023-07-13T01:51:04.000Z,positif,engagement
Hola Sena Gw Berasal Dari Pluto 🗿,darth_vader_sith_empire,0 likes,2023-07-13T02:23:03.000Z,netral,engagement
"jago kok, apalagi main sama mas gakrhit",aryaprayogaaaa_,0 likes,2023-07-13T02:27:53.000Z,positif,engagement
""" nama sena, nekomaya sena""",imwetard,0 likes,2023-07-13T02:39:38.000Z,netral,engagement
Vitubir anime paling Ramah sejauh keliatannya,dapsoul_,0 likes,2023-07-13T03:08:03.000Z,positif,engagement
Cemangatt,daffa.vtuber,0 likes,2023-07-13T03:25:32.000Z,positif,engagement
ngeri di gensjreng svagarit,its.arifu,0 likes,2023-07-13T03:40:10.000Z,netral,engagement
"maaf ya sen, aku skip video ini 😋",royikes,0 likes,2023-07-13T04:02:18.000Z,negatif,engagement
Jadi?,juliyuszenfynx,0 likes,2023-07-13T05:25:15.000Z,negatif,pertanyaan
wayang kulit,ak.majid_gtb,0 likes,2023-07-13T06:17:04.000Z,netral,engagement
Adik yang sangat lucu dan family friendly,andreasheinp550,0 likes,2023-07-13T06:18:40.000Z,positif,engagement
Bisa ah???,teral_teraldy,0 likes,2023-07-13T06:41:17.000Z,negatif,pertanyaan
Kucing ini cute sekali,chachaslebeww,0 likes,2023-07-13T06:41:47.000Z,positif,engagement
Nembak orang❎Nembak tembok✅,neko.kero,0 likes,2023-07-13T06:48:08.000Z,negatif,engagement
Musang satu ini loh😌,rizslebew_,0 likes,2023-07-13T07:22:46.000Z,netral,engagement
LUCUU BANGETT😩😩😩,only_nanaaayy,0 likes,2023-07-13T07:29:08.000Z,positif,engagement
SENAAA KOM IMUT BGT SIHH,nayellowii_79,0 likes,2023-07-13T09:10:51.000Z,positif,engagement
🔥,boopanpann,0 likes,2023-07-13T09:15:55.000Z,netral,engagement
WAWW KUCHING SATU INII !!,boopanpann,0 likes,2023-07-13T09:15:57.000Z,positif,engagement
Adopsi kucing jenis virtual ginj dimana banh?,dftisml04_,0 likes,2023-07-13T09:19:45.000Z,positif,pertanyaan
Kak sena om gaqit botaq mana,kasuganokazura._,0 likes,2023-07-13T10:30:00.000Z,positif,pertanyaan
.,watashi_a.10,0 likes,2023-07-13T10:32:28.000Z,netral,engagement
Sena lucunya kelewatan jadi pacar gw aja sini 😭,tgarr08,0 likes,2023-07-13T10:48:20.000Z,positif,engagement
PENGEN BET KU DATANGI KAU SENNN,ssa_ra126,0 likes,2023-07-13T11:03:13.000Z,negatif,engagement
p infokan karung mass 😋,anakbahik01,0 likes,2023-07-13T12:50:25.000Z,netral,engagement
"Bentar dulu, kek kenal ni gambar, tapi liat dimana yak 🤔🗿",m.l.i_bmc,108 likes,2023-11-10T12:52:58.000Z,netral,pertanyaan
Apakah termasuk aroma kakimu sen? 😂,kall_hakim216,9 likes,2023-11-10T12:59:26.000Z,negatif,pertanyaan
Bisa dipertimbangkan jika ada yang full depan belakang,heiiyoloooo,64 likes,2023-11-10T12:57:21.000Z,netral,feedback
Di mata gw yg pertama gw liat adalah nekopoi...eh ternyata bawah nya ada nama sena..ehe,navrinayz,8 likes,2023-11-10T14:26:19.000Z,positif,engagement
HELL NA 💀💀,snaevyy,75 likes,2023-11-10T12:53:53.000Z,negatif,feedback
Info belinya di mana,kaca_tipis_,1 like,2023-11-11T07:27:12.000Z,netral,pertanyaan
"Nunggu kelar dapet bill benerin motor dulu Kak Sena🥲. Rill, aku juga mau punya baju yang gambar nya cewek animek, tapi duit gajih ku tidak mendukung🥲",mhmd_alfi.501,2 likes,2023-11-10T17:10:03.000Z,negatif,engagement
Njir art bang siez😂,miyorusama,4 likes,2023-11-10T12:54:30.000Z,positif,engagement
Bayangin kalo guru wibu beli ini 💀,ahsanaqie,1 like,2023-11-10T12:52:57.000Z,negatif,engagement
digital footprint😋🤤,abelebel_,7 likes,2023-11-10T12:54:24.000Z,netral,engagement
aku suka aku suka,_chris.evn,1 like,2023-11-10T12:52:27.000Z,positif,engagement
Pakai nanya 😁,molly_arrow,1 like,2023-11-11T04:19:45.000Z,netral,engagement
Takut kelepasan sholat di masjid aih 😂😂,adiakbarv,1 like,2023-11-10T15:20:26.000Z,negatif,engagement
Gasss,yudiyusupa,2 likes,2023-11-10T12:53:01.000Z,netral,engagement
HEELLL NAWW@nekoyamasenasudah tau semuanya💀💀💀💀💀,g.h.o.s.t.s.t.r.a.k,1 like,2023-11-11T00:39:42.000Z,negatif,engagement
What😮,misteriusfullv,1 like,2023-11-10T22:41:17.000Z,netral,engagement
huekk fetish kaki🤮🤮,veetoadity,1 like,2023-11-10T21:35:48.000Z,negatif,engagement
Berapa harganya?,not_fchr_118,8 likes,2023-11-10T12:57:52.000Z,netral,pertanyaan
"Beli baju, gratis sena",gipennnnnnnnnnnnnn,35 likes,2023-11-10T13:01:43.000Z,netral,engagement
1 juta pun aku bayar,putra.zhaa,23 likes,2023-11-10T12:51:41.000Z,positif,engagement
"Belilahhh, sena armpit",agusriyantanee__,1 like,2023-11-10T12:56:42.000Z,netral,engagement
"Bisa dipertimbangkan, iya gak@avenoir05",fachr._,1 like,2023-11-10T20:53:36.000Z,positif,pertanyaan
Sangat tidak cocok dipakai solat,luqman_2425,23 likes,2023-11-10T13:28:34.000Z,negatif,feedback
😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛,sweatyb4lls,1 like,2023-11-10T13:35:38.000Z,netral,engagement
ada ada saja,nicoontol,1 like,2023-11-10T12:51:36.000Z,negatif,engagement
Beli donggggg❤️,erland5524,0 likes,2023-11-11T09:15:19.000Z,positif,engagement
watdahell💀,bbstianav,1 like,2023-11-10T13:15:48.000Z,negatif,engagement
Beli donks,far_hans_,1 like,2023-11-10T12:51:34.000Z,positif,engagement
ingfokan ☝️,vins5548,1 like,2023-11-10T13:04:26.000Z,netral,engagement
@elbannahaidar_😁,jeff0082_,0 likes,2023-11-11T10:48:58.000Z,netral,engagement
Aduhai porno nye,dannzz.z,1 like,2023-11-10T12:56:29.000Z,negatif,feedback
I want more ero,allifsyahab0,1 like,2023-11-10T16:38:27.000Z,positif,feedback
Jangan bilang itu mas garit yg make baju nya 💀,pememe_halal,0 likes,2023-11-10T13:39:07.000Z,netral,engagement
nigga what the fuck is this shit,chandraaaulia,0 likes,2023-11-11T12:16:13.000Z,negatif,pertanyaan
"Kan udah aku bilang, beli 1 lusin😁😁",reza_kurosaki,0 likes,2023-11-10T12:51:52.000Z,positif,engagement
Beli donkkk,kiidzh_,0 likes,2023-11-10T12:52:24.000Z,positif,engagement
sedapnyeee,akbrk.wan_,0 likes,2023-11-10T12:54:02.000Z,netral,engagement
Pasti,kamuslengkap10milyar,0 likes,2023-11-10T12:54:02.000Z,netral,engagement
Haroom,boim_art27,0 likes,2023-11-10T12:54:11.000Z,netral,engagement
Maaf ke jilat,fiqri_rian_,0 likes,2023-11-10T12:54:56.000Z,netral,engagement
akan ku borong,abddmrzput,0 likes,2023-11-10T12:55:37.000Z,positif,engagement
Bro? 💀,rrzki.___,0 likes,2023-11-10T12:56:01.000Z,negatif,pertanyaan
beli baju dapat sena😱😱😱,ownreyo,0 likes,2023-11-10T12:57:13.000Z,positif,engagement
Wujud aseli sena,favjarzz_,0 likes,2023-11-10T12:57:23.000Z,netral,engagement
Po 10,bayuade_7830,0 likes,2023-11-10T13:00:25.000Z,netral,engagement
10JT PUN KUBAYAR,yanzzxtow,0 likes,2023-11-10T13:00:46.000Z,positif,engagement
Itu coklat coklat apaan 🤔,ald0_8.5,0 likes,2023-11-10T13:01:12.000Z,netral,pertanyaan
Mauuuu kakiiiinyaaaa 😖,icy_hot_aka_todoroki,0 likes,2023-11-10T13:03:29.000Z,positif,engagement
shheesss🥶💀,ell_suky,0 likes,2023-11-10T13:04:10.000Z,negatif,engagement
jorok gitu design nya,aadityyas,0 likes,2023-11-10T13:04:22.000Z,negatif,feedback
GAAAAAS,timo.tius0,0 likes,2023-11-10T13:04:26.000Z,netral,engagement
BELI💰💰💰💰💰💳💳💳💳,wibrutal,0 likes,2023-11-10T13:04:27.000Z,positif,engagement
💀,arief.street,0 likes,2023-11-10T13:05:59.000Z,netral,engagement
maaf gue nggk pedo,anggajheee,0 likes,2023-11-10T13:06:11.000Z,netral,engagement
Pake skin hitler nnti ku beli,reichzieght,0 likes,2023-11-10T13:06:53.000Z,positif,feedback
Gas gak sih 🗿,muhammad.rizki_w,0 likes,2023-11-10T13:07:05.000Z,netral,engagement
😨😨,tarrr_not_yourss,0 likes,2023-11-10T13:07:42.000Z,netral,engagement
Wujud aseli sena@beaconcreamkoh,riszfandi,0 likes,2023-11-10T13:07:56.000Z,netral,engagement
Gw mau beli lah sen,nandie_maulana,0 likes,2023-11-10T13:07:58.000Z,positif,engagement
Aku mau sepuluh☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️,lmmhhh_cure,0 likes,2023-11-10T13:08:01.000Z,positif,engagement
Aduhaii,junnxzzz,0 likes,2023-11-10T13:08:04.000Z,negatif,engagement
Damn dude,nabil.wasfound,0 likes,2023-11-10T13:08:30.000Z,negatif,engagement
Cepatkan dan bayar 🗣️💯🔥🔥,devanbatagor,0 likes,2023-11-10T13:08:31.000Z,positif,engagement
"beli iya, pas mau pake jadi mikir 🗿",raidenhyoca,0 likes,2023-11-10T13:08:35.000Z,positif,engagement
"Ada hoodienya ngga, klo ada nitip 1😁👆",notraynald,0 likes,2023-11-10T13:08:46.000Z,positif,pertanyaan
"beli lah masa enggak, 3miliyar pun ku bayar cik😁👍",neroacth,0 likes,2023-11-10T13:09:26.000Z,positif,engagement
Bacanya nekobena,welly.umi,0 likes,2023-11-10T13:09:38.000Z,netral,engagement
Bokep,just.danieall,0 likes,2023-11-10T13:10:22.000Z,negatif,feedback
Aku mau segini 🖐️🖐️🤪,nathan_slebew12,0 likes,2023-11-10T13:10:54.000Z,netral,engagement
Gas sih,furudakaa,0 likes,2023-11-10T13:11:26.000Z,netral,engagement
how much?,_lilxxan_,0 likes,2023-11-10T13:12:30.000Z,positif,pertanyaan
Gas,akihiko_kyb,0 likes,2023-11-10T13:12:58.000Z,netral,engagement
Mamah aku takut,enxe_w,0 likes,2023-11-10T13:13:55.000Z,negatif,engagement
Datang 5 truck pun ku bayar😋,klms_kalm,0 likes,2023-11-10T13:14:12.000Z,positif,engagement
Astaga legs,imbbrrann,0 likes,2023-11-10T13:16:02.000Z,negatif,engagement
Ingat Tidak boleh untuk anak d bawah umur sen.. Ya😂,willsonn_69,0 likes,2023-11-10T13:17:42.000Z,positif,feedback
ga ga ada uang,1_waak,0 likes,2023-11-10T13:18:59.000Z,negatif,engagement
wangi sena ga 🤤🤤,prabaqadafie_18,0 likes,2023-11-10T13:19:11.000Z,netral,pertanyaan
Infokan harga sen🔥👏,andifarrelldgs,0 likes,2023-11-10T13:22:27.000Z,positif,pertanyaan
AKU MAU 100,acawangywangy,0 likes,2023-11-10T13:23:08.000Z,positif,engagement
😂😂😂😂,aste.rianto,0 likes,2023-11-10T13:23:15.000Z,netral,engagement
Satu juta pun gak akan ku beli kecuali wujud nekoyamasena jadi pace baru mau,arga_5.7,0 likes,2023-11-10T13:24:33.000Z,netral,feedback
Takut sen nanti punggungku ada yang ngendus” lagi😂😂,haruukiii_20,0 likes,2023-11-10T13:27:44.000Z,negatif,engagement
Sieeeez,dapsoul_,0 likes,2023-11-10T13:28:23.000Z,netral,engagement
Beli dong,pandapo398,0 likes,2023-11-10T13:29:02.000Z,positif,engagement
10 juta pun kubayar,seantm005,0 likes,2023-11-10T13:29:11.000Z,positif,engagement
1jt pun kubayar,jackahuna45,0 likes,2023-11-10T13:29:44.000Z,positif,engagement
aku mw😋,rafa_wan.0912,0 likes,2023-11-10T13:30:06.000Z,positif,engagement
NOOOO💀💀,mochammed_exe,0 likes,2023-11-10T13:30:36.000Z,negatif,engagement
Bagiku design nya bagus...cuman yg agak tidak bagus nya adalah.... Kenapa dibahagian bawahnya itu... ☕,_aito_desu,0 likes,2023-11-10T13:31:09.000Z,negatif,feedback
"lima juta pun ku bayar, paylater tapi 😁",inikhallagi,0 likes,2023-11-10T13:31:13.000Z,positif,engagement
Udah bejat nih anak,naufal_akin,0 likes,2023-11-10T13:32:56.000Z,negatif,engagement
Tergantung😅,kerutli,0 likes,2023-11-10T13:33:39.000Z,netral,engagement
anjim,mfiqrialamsyah,0 likes,2023-11-10T13:34:25.000Z,negatif,engagement
Boleh,yudah_ahmada,0 likes,2023-11-10T13:35:12.000Z,positif,engagement
Mw 😋,yuda_lim,0 likes,2023-11-10T13:35:17.000Z,positif,engagement
Versi chibi adakah?,bimabcdefghazl,0 likes,2023-11-10T13:35:20.000Z,netral,pertanyaan
Anjay sena vapers,yth_fatih,0 likes,2023-11-10T13:36:17.000Z,netral,engagement
Sapa dongg senaaa,dzaidk_lostcontrol,0 likes,2023-11-10T13:36:32.000Z,netral,engagement
Astaghfirullah mataku,ariswibowo_hendrahariprabowo,0 likes,2023-11-10T13:37:06.000Z,negatif,engagement
Maw banget,zxyepss,0 likes,2023-11-10T13:38:13.000Z,positif,engagement
"Yg edisi bantal Ama guling g ada,, y g bisa di peluk🙈",oneniknem1,0 likes,2023-11-10T13:39:04.000Z,netral,pertanyaan
Da hell 💀,sig_m400,0 likes,2023-11-10T13:40:39.000Z,negatif,engagement
waduh,aspri866aigbaru,0 likes,2023-11-10T13:42:49.000Z,negatif,engagement
5jt pun gw ambil sen,nobuunsrll,0 likes,2023-11-10T13:48:27.000Z,positif,engagement
Kalo aku geli pengen beli 🔥🔥🔥,mamank_lek,0 likes,2023-11-10T13:50:27.000Z,positif,engagement
Pake nanya🗿,zakaria4419,0 likes,2023-11-10T13:52:46.000Z,netral,engagement
RIOO😮,callmerezkyy,0 likes,2023-11-10T13:53:22.000Z,netral,engagement
Gak asing nih anime tapi kok mirip apk yang aku punya ya? 🗿👏🏻,kasuganokazura._,0 likes,2023-11-10T13:54:26.000Z,netral,pertanyaan
Wangi wangi 😂😂,cahya_madee,0 likes,2023-11-10T13:56:28.000Z,netral,engagement
Tergantung harga dan diskon nya,a_angga.r1,0 likes,2023-11-10T13:57:06.000Z,netral,engagement
APA?!! FOTO KAKI?!! DI EKONOMI SEPERTI INI?!!! FOTO KAKI SENA RAAAAAHHHHH 🔥🔥🔥🔥💯💯💯💯,cleoashh,0 likes,2023-11-10T13:58:51.000Z,positif,pertanyaan
Wujud asli sena,hazvanrj,0 likes,2023-11-10T13:58:56.000Z,netral,engagement
WTF😰😰💀,nozeemc,0 likes,2023-11-10T14:00:42.000Z,negatif,engagement
Ak jg mw😋,imnotrdit,0 likes,2023-11-10T14:04:01.000Z,positif,engagement
kata mamah gaboleh💀,son.cosu,0 likes,2023-11-10T14:04:57.000Z,negatif,engagement
bolong nanti baju ku,alwaansec,0 likes,2023-11-10T14:05:25.000Z,netral,engagement
Pake nanya,shunshunrwbu,0 likes,2023-11-10T14:06:21.000Z,netral,engagement
"WTH🙀,beliin Sabi lah ya sen😋😋",ara_sukaytmci,0 likes,2023-11-10T14:06:51.000Z,netral,engagement
Waduh🗿,mulia_angga,0 likes,2023-11-10T14:08:28.000Z,negatif,engagement
Beli dimana?,rolandhaa_,0 likes,2023-11-10T14:10:56.000Z,positif,pertanyaan
Pake nanya😂,fioocuyy,0 likes,2023-11-10T14:11:31.000Z,netral,engagement
waduh beli ga ya,abiyusafa_tajusa,0 likes,2023-11-10T14:11:50.000Z,netral,pertanyaan
sebutkan nominal nya sen,alena.prasetyo,0 likes,2023-11-10T14:16:31.000Z,netral,engagement
💀💀,imfjrilhm,0 likes,2023-11-10T14:19:02.000Z,netral,engagement
WTF SEN!!!💀💀💀💀💀💀💀,yafiigeming532_core,0 likes,2023-11-10T14:22:32.000Z,negatif,engagement
ALAMAKKK.... WUAUUUUUU... ALAMAKKK.... UGHH SEDAPNYE,dnoize661,0 likes,2023-11-10T14:22:52.000Z,netral,engagement
Sedikit Ano tapi ngga papa lah 😁,nfl_fd9,0 likes,2023-11-10T14:24:50.000Z,negatif,feedback
Itu vapor merek apaan,azagi07,0 likes,2023-11-10T14:25:19.000Z,netral,pertanyaan
Yg gapake baju ada ga sen,alfin_saputra21,0 likes,2023-11-10T14:26:15.000Z,negatif,pertanyaan
Klo senanya makek baju pantai bolelah,k._.witama,0 likes,2023-11-10T14:29:51.000Z,positif,feedback
SOPAN KAH BEGITU???,skydream_gd2024,0 likes,2023-11-10T14:30:34.000Z,negatif,pertanyaan
Waduh!! apakah tidak berbahaya,a.bakhrilulum,0 likes,2023-11-10T14:30:54.000Z,negatif,pertanyaan
Aku mau 3 ☝️😋,frlapt.__,0 likes,2023-11-10T14:31:18.000Z,positif,engagement
Gas lah beli 2😂,azkadz1225,0 likes,2023-11-10T14:32:15.000Z,positif,engagement
Sena ternyata kamu mode tank,okirokhmatan,0 likes,2023-11-10T14:36:48.000Z,netral,engagement
Waduh kok sus gini sen 🗿,ramawira25,0 likes,2023-11-10T14:37:27.000Z,negatif,engagement
500k pun kubeli,dandajoestar,0 likes,2023-11-10T14:41:10.000Z,positif,engagement
Waduhh terlalu vulgar jika dipakai diluar,sadewa.zhdn,0 likes,2023-11-10T14:51:00.000Z,negatif,feedback
Bismilah kagak beli😂😂😂😂,agung.pratama98,0 likes,2023-11-10T14:56:41.000Z,negatif,engagement
ADA DAKIMAKURA GAK,frznacntkr_,0 likes,2023-11-10T14:56:55.000Z,positif,pertanyaan
Menggoda😋,qiooo03__,0 likes,2023-11-10T15:06:35.000Z,positif,engagement
Woilah jangan sus sus ntar mamaku marah,minervajoe,0 likes,2023-11-10T15:08:28.000Z,negatif,engagement
1 juta pun akan ku bayar,miyyaken,0 likes,2023-11-10T15:09:12.000Z,positif,engagement
😮,alpin.04,0 likes,2023-11-10T15:12:21.000Z,netral,engagement
4no bangett busett,frst_t.m,0 likes,2023-11-10T15:19:09.000Z,negatif,engagement
bakal beli ? pake nanya,arasheesh_,0 likes,2023-11-10T15:21:35.000Z,netral,pertanyaan
AKU JUGA MW SENA😋,sya_xontol,0 likes,2023-11-10T15:22:53.000Z,positif,engagement
No tidak familiy friendly,ataka_faqih,0 likes,2023-11-10T15:29:32.000Z,negatif,feedback
The helllll😮😮😮,fxy_cszz,0 likes,2023-11-10T15:30:10.000Z,negatif,engagement
wangy banget sen gamabrnya😮😮,levonchka,0 likes,2023-11-10T15:34:53.000Z,positif,engagement
Infokan,bukandeann_,0 likes,2023-11-10T15:42:52.000Z,netral,engagement
Gas,riskiantonugraha,0 likes,2023-11-10T15:44:23.000Z,netral,engagement
Aduh bahaya nih fetish kaki,satriamaharaj,0 likes,2023-11-10T15:48:58.000Z,negatif,engagement
Terlalu seksi untuk di buat jalan jalan🗿,finn_nolep,0 likes,2023-11-10T15:51:23.000Z,negatif,feedback
Saya curiga itu@garit.dewana,wideashevamarhaendra,0 likes,2023-11-10T15:58:29.000Z,netral,engagement
Lihat tabungan dulu sen...,este_rong,0 likes,2023-11-10T16:11:15.000Z,negatif,feedback
Coki pardayday: Tidak!!!! Hehe iya,kenjikun_sanj7,0 likes,2023-11-10T17:01:26.000Z,netral,engagement
Moh,dnd.main,0 likes,2023-11-10T18:18:37.000Z,negatif,engagement
"G dulu deh, gambar nya terlalu vulgar utk di pake ke tempat umum",ilhaam.2308,0 likes,2023-11-10T21:12:59.000Z,negatif,feedback
Duh minder kalo bumper nya keliatan,doavarea,0 likes,2023-11-10T21:45:30.000Z,negatif,feedback
Iman ku masih kuat aku tidack akan terpengaruh arghhhhh,lutvie_sulastiana,0 likes,2023-11-10T21:49:26.000Z,netral,engagement
Hm,voroshilovvvv_,0 likes,2023-11-10T22:03:00.000Z,netral,engagement
HELL NAWHH,vincentdrmwn_,0 likes,2023-11-10T22:06:43.000Z,negatif,engagement
"Pake nanya, sudah tentu saya beli lah😁",zdnnwashere,0 likes,2023-11-10T22:09:31.000Z,positif,engagement
Watafak,_komangbagus__,0 likes,2023-11-10T22:38:13.000Z,negatif,engagement
"Nah uh, feed is not my fetish",riizuki_,0 likes,2023-11-10T23:08:59.000Z,negatif,engagement
Belii,aras_desu,0 likes,2023-11-10T23:09:54.000Z,positif,engagement
coba yg mKe garit pasti laku keras 😂😂😂😂,aji.ryuxami,0 likes,2023-11-10T23:23:37.000Z,netral,engagement
"bentarrr,gambar ini kan💀",oowaann,0 likes,2023-11-10T23:23:57.000Z,negatif,engagement
Bisa sih,riaaannn_6123.divx,0 likes,2023-11-10T23:36:13.000Z,netral,engagement
wujud asli sena,danangswastikay,0 likes,2023-11-10T23:40:04.000Z,netral,engagement
Penampilan boleh gahar tapi baju harus@nekoyamasena,fikri_haikal019,0 likes,2023-11-10T23:53:36.000Z,positif,engagement
Kaki kucing dibawah umur 💀,im_doofensmirtz,0 likes,2023-11-11T00:19:37.000Z,negatif,engagement
yabaiii 😓😓😓😓,doyoulikekukiss,0 likes,2023-11-11T00:20:27.000Z,negatif,engagement
beli + pukulan om garit,arnita_arta,0 likes,2023-11-11T00:42:50.000Z,netral,engagement
Garit kah?,m.rizkyalpiannur,0 likes,2023-11-11T01:08:22.000Z,netral,pertanyaan
Auto banyak yang beli kalau itu dakimura,andreasheinp550,0 likes,2023-11-11T01:40:22.000Z,positif,feedback
"Jadi selama ini begitu sempak nya vtuber, i see",shiron.only_,0 likes,2023-11-11T01:41:32.000Z,negatif,engagement
ayoo,xhio69,0 likes,2023-11-11T02:03:26.000Z,netral,engagement
Malas fetish kaki bau sikil,_.gorgio._vann,0 likes,2023-11-11T02:09:03.000Z,negatif,engagement
Bole lah,chika.ryuuki_,0 likes,2023-11-11T02:40:41.000Z,positif,engagement
kirain garit,ndraaasuu,0 likes,2023-11-11T02:59:00.000Z,netral,engagement
terlalu sus.. skip dulu 🙏,evlarette,0 likes,2023-11-11T03:16:52.000Z,negatif,engagement
berapapun ku beli 😁,bnggjuu_,0 likes,2023-11-11T03:30:25.000Z,positif,engagement
Infokan shop nya😍,saputrarionilham,0 likes,2023-11-11T03:34:10.000Z,positif,engagement
Nekoyama suka ngebul 💀,shimada7825,0 likes,2023-11-11T03:55:28.000Z,negatif,engagement
ada yang no sensor gak,switch8082,0 likes,2023-11-11T03:58:28.000Z,positif,pertanyaan
Kok warna kayak gitu 😶,dynas_iskandar,0 likes,2023-11-11T04:19:52.000Z,negatif,pertanyaan
Turunkan link,kfdakduljdkijdidakdk,0 likes,2023-11-11T04:38:04.000Z,netral,engagement
"bruhh, ()",hanz_morph,0 likes,2023-11-11T04:56:00.000Z,negatif,engagement
sena sudah tidak polos,nwsnnu,0 likes,2023-11-11T04:58:13.000Z,negatif,engagement
INFOKAN NOMINAL NONAAA,rwd_k14b,0 likes,2023-11-11T07:12:13.000Z,positif,engagement
Tampang Heavy metal tapi hati Hello Kitty,yedz_zoxc,0 likes,2023-11-11T07:22:36.000Z,netral,engagement
Mau sen.. Beli dmna tuh??,mustawann,0 likes,2023-11-11T07:42:31.000Z,positif,pertanyaan
Beli orang nya 😁,rip_cr3oss,0 likes,2023-11-11T08:03:50.000Z,positif,engagement
Gambarnya terlalu,robert_speedpp,0 likes,2023-11-11T08:05:26.000Z,negatif,feedback
Anak kecil disuruh pake celana gemes mana cocok kwkwkw,thatpool29,589 likes,2023-10-16T08:31:04.000Z,positif,feedback
Over size dikit enggak ngaruh 🗿,alfhan0za,25 likes,2023-10-16T08:41:10.000Z,netral,engagement
"yg sesuai ukuran makanya, XS kalik",mi.rvmenn,68 likes,2023-10-16T08:57:45.000Z,negatif,feedback
Itu udah ukuran S yah?,nunu.koe,124 likes,2023-10-16T08:37:27.000Z,negatif,pertanyaan
biar awet 15 tahun kedepan,azhfann_,84 likes,2023-10-16T08:33:13.000Z,netral,engagement
Wkwkwkwkwkkw berubah fungsi 😂😂😂,sanrokuichi13,13 likes,2023-10-16T08:30:53.000Z,positif,engagement
Dahan kayu,ivandaary,11 likes,2023-10-16T08:33:32.000Z,netral,engagement
Gada yg bisa di liat owkwokawo,zxyepss,244 likes,2023-10-16T08:34:21.000Z,positif,engagement
Fix kalo dipikir yg gk menarik bukan celananya.... Tapi.... Itu anu.... Itu....,viqipr,87 likes,2023-10-16T08:42:14.000Z,negatif,engagement
Mau liat aku yang pake ga?sexy loh,maumandii,110 likes,2023-10-16T10:16:57.000Z,netral,pertanyaan
Lu pendek,rizkialsayyid,5 likes,2023-10-16T09:13:50.000Z,negatif,engagement
Ini celananya yg kegedean apa orangnya yg kekecilan?,7.diamon,114 likes,2023-10-16T09:41:08.000Z,negatif,pertanyaan
"Stye orang kan beda-beda, menurutku jangan sampai kurang bahan aja sih. Sena kan tau buaya mana yang gak jelalatan matanya🗿",amkiryuu_21,1 like,2023-10-16T17:02:06.000Z,netral,engagement
bukan untuk anak kecil soalnya,nizarru_,1 like,2023-10-16T10:48:14.000Z,positif,feedback
Kaki sena🤤,celia.claire._,41 likes,2023-10-16T08:31:02.000Z,netral,engagement
Hmm jilat gk sih 😋,yass.yasuu,2 likes,2023-10-16T09:02:22.000Z,netral,engagement
