comments,sentimen,kategori
Kenapa kena Rick roll lagi,Negatif,Pertanyaan
Sen? maksudnya ini apa?,Negatif,Pertanyaan
Thumbailnya kok mencurigakan gitu??,Negatif,Pertanyaan
😢 mencium bau yang gak enak huhu apakah apakah apakah,Negatif,Pertanyaan
ga graduate kan bang?,Negatif,Pertanyaan
apa Sena nikah?😡😡,Negatif,Pertanyaan
Apakah Sena terdoxxing dan mau graduate??,Negatif,Pertanyaan
lah bisa gitu? Kukira ga bisa njir.. umur 12 tahun bisa seperti gitu 😭,Negatif,Pertanyaan
"Alamak ada apa nih??",Negatif,Pertanyaan
"Kok fotonya agak mirip kek cerrys yang udh graduate yak? Apakah bakal terulang lagi? :"")",Negatif,Pertanyaan
kenapa gw sial banget hari ini sih?,Negatif,Pertanyaan
......bau bau apa ini? Gak enak.....😢,Negatif,Pertanyaan
Kok auranya ga enak ya,Negatif,Pertanyaan
Itu kalau cebok gak bakal nempel di lubang tai kah huh?,Negatif,Pertanyaan
Kok jari tengah lebih pendek kukunya hmm? 🙃,Negatif,Pertanyaan
Loh kok gak ada yg digunting 1 kuku ya 🗿,Negatif,Pertanyaan
Kenapa thumbnail nya gitu dah 🙂?,Negatif,Pertanyaan
Kenapa lagu rick roll never gonna give you down bisa terkenal sampe sekarang sih?,Negatif,Pertanyaan
Loh apakah bang andi pedofil???,Negatif,Pertanyaan
sial kenapa gw tutup mata dan senyum² sendiri,Negatif,Pertanyaan
Nih lagu kenapa sih menghampiri gw mulu asu,Negatif,Pertanyaan
Sial kenapa aku lihat berkali apakah aku sudah gila,Negatif,Pertanyaan
Ini durasinya brp lama kok gak selesai selesai,Negatif,Pertanyaan
Aku tau ini click bait tapi knp aku tetap nonton Ama nyanyi?,Negatif,Pertanyaan
Chloe kemana😢?,Negatif,Pertanyaan
kapan live lagi :((,Negatif,Pertanyaan
Dimana lewd nya 😡?,Negatif,Pertanyaan
Chloe masih aktif? Ini sudah dua bulan loh😡😡,Negatif,Pertanyaan
Chloe udah lama ga bikin video kemana😢😢?,Negatif,Pertanyaan
Kak sena kenapa? Kok bisa sampe di infus emang kesalahan apa yang kak sena lakukan😢semoga lekas sembuh ya kak sena😢😢,Negatif,Pertanyaan
apa? apa yang telah kamu lakukan?,Negatif,Pertanyaan
seberapa sakit sih??😢😢,Negatif,Pertanyaan
Kok bisa sen darah sena jadi coklat?😢😢,Negatif,Pertanyaan
cepat sembuh buat kamu sena tapi kamu sakit apa sampai diinfus begitu?😭,Negatif,Pertanyaan
Emang kmu ngapain sampai masuk RS😭😭,Negatif,Pertanyaan
Sena kok ngilang?😭,Negatif,Pertanyaan
Janji gak hilang😢?,Negatif,Pertanyaan
waduh kemana nih chloe? udah ditunggu banyak orang nih :(,Negatif,Pertanyaan
Kamu baik baik aja kan chloe? 😢,Negatif,Pertanyaan
admin 😢 bagaimana kalau umur nya tidak cukup untuk mencapai minimal untuk mengikuti audisi?,Negatif,Pertanyaan
Bang Zen balik yuk?😢 Kita gak bisa melupakan bang Zen bang Zen gimana kabarnya sekarang?😢,Negatif,Pertanyaan
Lah belom April Zen ini asli kah?!,Negatif,Pertanyaan
Ini bercanda gk sih😢?,Negatif,Pertanyaan
Emang boleh sesedih ini? 🥲,Negatif,Pertanyaan
Bang zen beneran pergi kah? 😢,Negatif,Pertanyaan
LUMII WHERE ARE YOU ??? 😭,Negatif,Pertanyaan
Lumi kamu kemana?? KANGEN LUMIII,Negatif,Pertanyaan
Astaghfirullah aku kaget takut chloe keluar dari layar😢. Chloe ga gigit kan ?,Negatif,Pertanyaan
waduh ini ga bahaya kah?,Negatif,Pertanyaan
MAKSUD APA MUKUL ISTRIKU 🤬,Negatif,Pertanyaan
Maksud kamu apa menyakiti istri aku😡,Negatif,Pertanyaan
anjing ini bukan live stream?,Negatif,Pertanyaan
Jangan gitu lah kuroe...... Kapan aku move on dari anime klo kamu kayak gini terus😢,Negatif,Pertanyaan
kapan live lagi :(,Negatif,Pertanyaan
Minne Kapan balik aku merindukan kakak :(?,Negatif,Pertanyaan
Minerva hiatus sejak kapan :(?,Negatif,Pertanyaan
ok tiba tiba kangen ya sama mine 🥺,Negatif,Pertanyaan
Minerva kemana aja 😭😭? kangennnn,Negatif,Pertanyaan
Kok gak ada yang kenal kak echi???,Negatif,Pertanyaan
Kenapa dakimakura selalu agak 4no gitu ya?,Negatif,Pertanyaan
Kenapa pose nya harus gitu anjir?,Negatif,Pertanyaan
kamu sakit apa?😭,Negatif,Pertanyaan
Kenapa oppai vtuber harus goyang pdhal gw liat nya biasa aja serius nanya,Negatif,Pertanyaan
Maksud kamu apa chi?😡😡,Negatif,Pertanyaan
Haduh ini gk graduate kan??? 😭😭,Negatif,Pertanyaan
Tidak ada minecraft lagi kah risu 😭?,Negatif,Pertanyaan
Kalau memang mental dan kesehatan fisik lagi down jangan dipaksakan Senaa Get Well Soon yah moga pemulihan nya cepat agar bisa menghibur kita semua lagi😁,Positif,Feedback
Kita akan selalu setia nunggu sena. Please have enough rest. Semoga cepat pulih dan kembali menjadi sena yang ceria,Positif,Feedback
Cepetan sehatnya sen biar warga nanes gak kangen 😂,Positif,Feedback
"Ya Selamat menikmati hiatusnya ya sen kalo boleh setelah hiatus terus live streaming ngomongin kamu abis dari mana aja ya sen. Semoga senang menjalani hiatusnya 😍😍😍😍",Positif,Feedback
Semangat sena. Istirahat yang cukup ya. Kurangin begadang main valo ❤️❤️,Positif,Feedback
"Sen jangan lupa makan yang teratur sen biar cepet sembuh kita selalu doa in  kamu kapanpun dimanapun sen😂 .semangat nya!!",Positif,Feedback
Kalo ngantuk tidur aja chi😁,Positif,Feedback
Buat makin random aja nih karakternya😂,Positif,Feedback
Cii kalau mau buang air besar jangan ditahan 😊,Positif,Feedback
semoga outfit nya tambah sexy,Positif,Feedback
Itu yg di tengah pas awal video siapa? Kok cantik banget tapi ga pernah keliatan wkwkwk,Positif,Feedback
Jangan pake BH dikepala seperti perkataan V wkwkwk,Positif,Feedback
I want more lewd 😁,Positif,Feedback
Coba Pake skin hitler nanti ku beli,Positif,Feedback
Ingat Tidak boleh untuk anak di bawah umur sen.. Ya😂,Positif,Feedback
Klo sena nya memakai baju pantai boleh lah,Positif,Feedback
Auto banyak yang beli kalau itu dakimura,Positif,Feedback
Anak kecil disuruh pake celana gemes mana cocok kwkwkw,Positif,Feedback
😁kak Eci cover lagu cupid,Positif,Feedback
"echi keren kamu teruskan berkarya chi<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Positif,Feedback
coba pakai SoT sen mungkin lebih menarik,Positif,Feedback
"Menarik perhatian karna menunjukan paha & seperti pake celana dalam (menurut gw pribadi) tetapi tidak disarankan untuk di pake kucing malah serasa pake sarung😂",Positif,Feedback
"salah ukuran Sen itu oversize dikit nggak ngaruh :v",Positif,Feedback
"Pakai yang lebih kecil🙌,",Positif,Feedback
itu celana buat anak dewasa bukan buat anak kecil hihihi,Positif,Feedback
Anjer makanya sen rutin olahraga juga biar ga sakit pula,Positif,Feedback
"beli ukuran anak-anak aja😁",Positif,Feedback
Sen semoga cepet sembuh dan bisa beraktivitas normal lagi amin ❤❤,Positif,Feedback
Jangan sampai dah dihias malah digigit😂,Positif,Feedback
"cakep bang kuku nya, lebih cakepny lagi mandi dlu sebelum foto bang 😁",Positif,Feedback
Minimal mukanya di liatin juga 😋,Positif,Feedback
Minimal bercermin dulu lah sebelum bernasehat 😁,Positif,Feedback
Tolong ini character minta digambar ulang jadi ular aja😂😂😂,Positif,Feedback
Ya daripada pacaran dapet dosa mending mendambakan yang tidak nyata😂😂,Positif,Feedback
Ingat seponggebop pemujaan terlalu berlebihan tidaklah sehat😁,Positif,Feedback
Ok nice information ya makasih banget sih,Positif,Feedback
Meskipun ada yg agak ga jelas pengucapannya tapi tetap enak suka suka,Positif,Feedback
Wah kalo gitu gua gak berani wkwk jujur gua punya adek cewek sih buka pintu kudu ngetuk dulu biar sopan aja wkwk kasih contoh yg bagus. Ya kali gua nyelonong masuk aja ntar dia lagi ganti baju gua yg repot wkwk,Positif,Feedback
Abang lu kurang satu hal yaitu gangguin adek nya ketika adek nya lgi serius😂😂😂,Positif,Feedback
How about a meat beating competition then? 😂😂😂,Positif,Feedback
I don't know but the song gives me atomic heart vibes 😋,Positif,Feedback
jangan kelamaan Hiatus nya nanti keburu kangen aku 😁,Positif,Feedback
Lah belajar lah kak Ela 😂😂 dengan cara tanpa pandang matanya,Positif,Feedback
masih ingat omongan orang tua jangan suka mengembungkan pipi ntar kena gondokan😁,Positif,Feedback
Bukannya serem malah lucu 😂😂,Positif,Feedback
semoga outfit nya tambah sexy,Positif,Feedback
Kalau diet ya jangan makan itu gampang kan😁😁,Positif,Feedback
Iya Chloe galak tapi sayangnya lemot sekali 😂,Positif,Feedback
wah udh lama gk liat echi nyanyi merdu juga suaranya waktu cover ini tanpa ame&quot;,Positif,Feedback
ih jangan galak galak nanti makin sayang aku,Positif,Feedback
Telur puyuh nya kurang banyak sih nih wkwkwk,Positif,Feedback
harusnya pakai jeruk sama melon biar makin sedap 😁,Positif,Feedback
Random voice nya tupai tapi enak bgt didengerin sambil kerja wkwkwk,Positif,Feedback
More shitposting content min 😍,Positif,Feedback
Tebaik walaupun pelat🤣🤣,Positif,Feedback
Jokesnya seru,Positif,Feedback
i'm so excited😍,Positif,Feedback
Enak cuy akhir akhir ini lagi demen dengerin aransemen tokyo city pop,Positif,Feedback
Oke ditunggu baju baru buat Princess KOBO,Positif,Feedback
tetap masih pendek aja yop😂,Positif,Feedback
"Kan enak gini gk ada suara AME nya :)",Positif,Feedback
bagus banget sayang meskipun haaaah nya kurang,Positif,Feedback
Jadi pengen main tebak tebakan chara wkwk,Positif,Feedback
HORE LOVE LIVE MANTAP NIH MUSIK COY,Positif,Feedback
Widih mantap jiwa kak moona dan holoID Mantap lagunya,Positif,Feedback
Suara Chloe Kawaii banget 💖,Positif,Feedback
ADEM BANGET SUKA LAGU CHLOE SELALU KEREN,Positif,Feedback
Keren lagunya,Positif,Feedback
Bang kang remix ame secepatnya remix ame ame oo echi bang yang berkualitas suara sedap echinee sungkem para remixer ame 🙏.<br>AME AME OO AME AME OO!!,Positif,Feedback
Suara kamu kok smooth banget sih candu tau gak,Positif,Feedback
Suara anda bisa membuat hati kita warga pawapuan menjadi tenang,Positif,Feedback
Next tema gunung dong kuroe hehe,Positif,Feedback
Kita butuh versi fullnya lagunya enak bet didengar,Positif,Feedback
Lagunya enjoy banget feel nya dapet. Kemaren nyoba ini lagu sambil main gitar eh temen temen pada tersipu dengernya wkwk. Mantap jiwa Chloe-san,Positif,Feedback
sudah bikin lagu yang bagus suara nya merdu trus dikasih lirik + chord gitar pula wkwkwk lengkap dah :),Positif,Feedback
Lagu ini yang paling saya suka Dari channel ini 💕😎,Positif,Feedback
Makasih chloe lagunya lucu..bikin senyum2 sendiri. Sering sering ya bikin lagu atau cover lagu yg liriknya lucu lucu gini. Menghibur banget💕,Positif,Feedback
Wah... Suaranya merdu sekali. Cocok untuk di dengar pas sebelum tidur. Kalau di buat full lagunya pasti lebih keren lagi. 😍😍😍,Positif,Feedback
Ini keren banget ... Dari pembuatan musik dan liriknya pas banget. Enak banget buat didengar terus menerus,Positif,Feedback
Gila akhirnya bikin original songnya bang(θ‿θ) keren bgt semangat trus bikin konten bang(ㆁωㆁ),Positif,Feedback
Kobo aku tunggu album punya mu~ suka banget,Positif,Feedback
nyanyinya pas gambar bagus terus kalo orang suka siapa itu kan senang jadi aku suka banget!,Positif,Feedback
Mantap lagu nya. Bikin full version Mantra Hujan dong,Positif,Feedback
Aku harap bakal ada versi full dari mantra hujan suatu saat. Lagu yang chill banget didenger saat lagi kerja atau belajar. Thankyouu kobooo,Positif,Feedback
Echi-chan terimakasih buat full cover version. aku menyukainya~ ,Positif,Feedback
Mantap kak echi ditunggu cover selanjutnya 🔥,Positif,Feedback
Meskipun ada yg agak gak jelas pengucapan nya tapi tetap enak suka,Positif,Feedback
Loh... ini Gyutto versi Echi ya. kok ga ada Ame-nya ?? jokes aside. what a beautifull cover echi. Ga pinter nyanyi hanyalah scam... Semangat terus echi !!!,Positif,Feedback
Keren kak. tinggal nunggu collaboration ame om Ray😁,Positif,Feedback
Omg I love this version even more than the original!,Positif,Feedback
Baru opening lagu nya auto suka suara nya ka Rey😍😍😍 Ini lagu nya cocok banget buat di bikin opening role play gitu😍😍,Positif,Feedback
INI GILA!!  udah deh gak tau mau ngomong apa tpi ini beneran keren parah suaranya!!  Terusin bakatnya kak!,Positif,Feedback
Aku baru subscribe dan check semua cover mu yg di playlist.. menurut ku ini still with you paling enak didengar... rasanya warna suara mu cocok banget gitu sama lagunya aransemen musiknya juga kerennn...,Positif,Feedback
Ni lagu cocok bgt buat jd backsound film sedih setelah bencana atau perang yang sedih bgt rasanya adem,Positif,Feedback
Happy birthday Echi!! keren banget covernya rajin rajin bikin cover ayo :DD,Positif,Feedback
Wih semoga muncul lagu-lagu baru lagi dan song original buatan sendiri 😍😍🎉,Positif,Feedback
Banyakan yg cover ikutan effect suara yg asli tapi yg ttp pake suara manusia jarang baru dua yang ketemu dan bagus,Positif,Feedback
pinter nih sena pakai thumbnail yang ke gini biar pada dateng,Positif,Feedback
Wow HBD eciiiiii 😍😍😍 nice cover di tunggu cover selanjutnya ciii,Positif,Feedback
Art nya bagus banget. ya suara nya bagus juga kok,Positif,Feedback
Coba kamu collaboration ama milyhya,Netral,Feedback
Kasih jumpscare diakhir video biar seru,Netral,Feedback
Bisa dipertimbangkan jika ada yang full depan belakang,Netral,Feedback
Satu juta pun gak akan ku beli kecuali wujud nekoyamasena jadi pace baru mau,Netral,Feedback
paha yang gambar pertama lebih gede daripada sebelumnya,Netral,Feedback
kurang naik dan kurang gede pahanya,Netral,Feedback
Kak maen Inhertiage BoE dong itu gamenya dari Indonesia bahasanya juga Indonesia menceritakan seorang perempuan bernama Nala dari bandung,Netral,Feedback
Kalo udh terkenal jangan sombong ya kak,Netral,Feedback
jangan lupa daftarin hak ciptanya chloe..<br>jaman sekarang banyak orang bedebah,Netral,Feedback
Saran judul : &quot;Jadian Yuk!&quot;,Netral,Feedback
cara kerjanya tidak seperti itu,Netral,Feedback
Bagusnya ini menurutku<br>Judulnya pandangan pertama,Netral,Feedback
Cari yg ukurannya dibawah S Sen,Netral,Feedback
sena tolong taro link saweria,Netral,Feedback
tidak apa-apa itu bisa dipake sampe umur 25 sen,Netral,Feedback
Itu bukan untuk anak kecil sena,Netral,Feedback
saran lagu &quot;ego kamu&quot;,Netral,Feedback
coba cari ukuran anak-anak,Netral,Feedback
"Kalau enggak liat nama akun nya kukira kaki cowok anak singkong maaf",Netral,Feedback
Menurutku tergantung paha milik sena,Netral,Feedback
Kurang besar kata mama gw,Netral,Feedback
Sena di thumbnail harusnya bilang: OM JANGAN OM,Netral,Feedback
Judul yg bagus menurutku si &#39;lepaskan egomu&#39;,Netral,Feedback
Makanya cari yg ukuran XXS,Netral,Feedback
Haaah nya kurang geter ci coba agak menahan napas dikit,Netral,Feedback
Perbanyak latihan otot kaki,Netral,Feedback
Next lagu mosawo kaiiro,Netral,Feedback
"Size nya cari paling kecil kalau udah paling kecil ga muat besarkan badannya",Netral,Feedback
Face reveal dong beb 🗿,Netral,Feedback
ototnya keliatan semua,Netral,Feedback
hehnya masih kurang mendalami tapi nice lah,Netral,Feedback
Ecchi cuci tangan dulu 😅,Netral,Feedback
Mandi dulu chi,Netral,Feedback
jadi mau main gitar/ukulele <br>btw chloekapan-kapan bikin lagu yang bisa di cover pake piano dong..",Netral,Feedback
"Sepertinya kering ci kulit tangan kamu coba rendam pake air raksa ci 🙂",Netral,Feedback
Kuku doang yang cakep minimal mandi chi,Netral,Feedback
Tambahin efek petir buat jadi lebih keren,Netral,Feedback
Glitter nya ganti pake bon cabe saja,Netral,Feedback
Siapa sangka sena bisa main game 😱😱😱,Netral,Feedback
minum dulu cik biar santai,Netral,Feedback
jangan suka mengembungkan pipi nanti terkena gondokan,Netral,Feedback
Tambahin BGM ajojing biar enak,Netral,Feedback
Chloe cosplay jadi barongsai dong,Netral,Feedback
Yah chloe gak keliatan kaya penyihir malah keliatan kayang sayang aku,Netral,Feedback
Harusnya ganti jadi alhaitam chi,Netral,Feedback
Gambar yang bisa membuat anda traveling,Netral,Feedback
Baru masuk Live udah bubar aja,Netral,Feedback
random banget livenya,Netral,Feedback
Tambahin dua komen lah biar pas 270 komentar nya,Netral,Feedback
Akhirnya si tupai satu ini ingat kalau dia punya ig,Netral,Feedback
kak kalau live streaming jangan terlalu malam,Netral,Feedback
Anda hanya mengakui "lumaya" bukan "sangat",Netral,Feedback
Lemot nya pake banget bukan pake lumayan,Netral,Feedback
Kartun gepeng mana bisa di cubit nanti handphone nya rusak,Netral,Feedback
Bisa dicubit lah atau disentil saja,Netral,Feedback
mau cubit tapi terhalang layar,Netral,Feedback
Jangan suka cubit nanti pipi Chloe tambah melar,Netral,Feedback
upload lah dua hari sekali,Netral,Feedback
Kalo di pin komen aku bakal kayang,Netral,Feedback
kak eci lupa belum komen di sini,Netral,Feedback
Mabar bersama pak Tua @luthfihalimawan,Netral,Feedback
Buat karnaval agustusan bagus tuh apalagi sambil menari nari gaya Assassin terong,Netral,Feedback
menunggu ame version,Netral,Feedback
Gak seberapa jelas kalungnya,Netral,Feedback
welcome back cuma bisa bilang semangat chi jangan maksain diri,Netral,Feedback
Welcome back bang jangan lupa jaga kesehatan,Netral,Feedback
Ditunggu main sama bang upi lagi,Netral,Feedback
ditunggu asmr nya,Netral,Feedback
chloe coba nyanyi lagu indonesia,Netral,Feedback
request collaboration sama bang lutfi,Netral,Feedback
semoga comeback dengan kostum & rambut baru,Netral,Feedback
gak perlu ditulis kata last nya,Netral,Feedback
coba melamar menjadi BA Ame,Netral,Feedback
request main kapal kapalan,Netral,Feedback
gas beli saja auto jadi top global WOW gak sih,Netral,Feedback
request gameplay minecraft,Netral,Feedback
Gw kira lagu stay with me request donk chi lagu stay with me,Netral,Feedback
chloe coba nyanyi lagu majas,Netral,Feedback
background nya terlalu gelap,Netral,Feedback
sepertinya ada belahan yang terlihat,Netral,Feedback
Moga lemot nya ilang chole :v,Netral,Feedback
Perbanyak olah raga biar gak sakit,Netral,Feedback
minta Tutorial bikin lagu kak,Netral,Feedback
kak nyanyi lagu sedih nama nya tabidachi no uta,Netral,Feedback
tutup pintunya awas serangga masuk,Netral,Feedback
Kebanyakan main handphone ya kok matanya kedip kedip,Netral,Feedback
nguapnya lama bener bang,Netral,Feedback
Risu sing about DDD come on,Netral,Feedback
request shit post di reels dong,Netral,Feedback
tolong ganti judulnya kak,Netral,Feedback
rilis album di spotify dong,Netral,Feedback
ayo collaboration lagi bersama generasi satu,Netral,Feedback
request collaboration karoke,Netral,Feedback
Buatin avatarnya yang ganteng,Netral,Feedback
jangan salting sama halu mulu,Netral,Feedback
kak chloe minta tips cara nembak pacar yang lain,Netral,Feedback
jangan kebanyakan makan kacang,Netral,Feedback
Gunakan kacamata karena kacamata adalah lensa tipis untuk mata guna menormalkan dan mempertajam penglihatan. Sekarang selain menjadi alat bantu penglihatan kacamata juga sudah menjadi pelengkap gaya serta menjadi alat bantu khusus untuk menikmati hiburan seperti kacamata khusus tiga dimensi,Netral,Feedback
Senyumnya agak mencurigakan bisa dibuat lebih natural,Netral,Feedback
request meme review lagi dong kak,Netral,Feedback
Apakah termasuk aroma kakimu sen? 😂,Positif,Pertanyaan
Spill aplikasi buat gambarnya dong hehe,Positif,Pertanyaan
itu sena kah? Tapi kok ada tato bekas gigit nya Orochimaru min 🤣🤣,Positif,Pertanyaan
Ada rekomendasi channel yang bikin playlist cover para vtuber? Atau emang enggak ada karena copyright?. Jujur gw lebih suka denger musik dibandingkan konten. Tapi siapapun vtuber nya gw akan maksimalkan subscriber dan like video ya walaupun gw gak nonton. Thanks for cover kak🎉,Positif,Pertanyaan
Moona buka restoran?? Dimana?? 😍😍😍,Positif,Pertanyaan
Akankah ini menjadi lagu tambahan dari ame full album guys? 😂,Positif,Pertanyaan
"admin bagaimana kalau umur nya tidak cukup untuk mencapai minimal untuk mengikuti audisi ?",Positif,Pertanyaan
"Satu channel buat dua orang bisa gak? Trus yang satunya sdh 20 tahun satunya lagi 15 tahun bisa kah?",Positif,Pertanyaan
"kangen banget lagunya kapan cover lagi kak?",Positif,Pertanyaan
Chole nggak ada niatan masukin lagunya ke spotify?,Positif,Pertanyaan
tertarik daftar tapi 17 tahun boleh ga ya ikut?,Positif,Pertanyaan
Kak yg kuning di tengah itu gen 4 nya ya?,Positif,Pertanyaan
Kak kapan cosplay svarog (garit) dan clara lagi? :),Positif,Pertanyaan
sena bisa bilang R ?😂,Positif,Pertanyaan
Izin cover jadi Pop Punk ya kak Chole🔥🤘,Positif,Pertanyaan
Kapan lagi diminta ara ara sama anime hahaha,Positif,Pertanyaan
Ada link nya gk kak chloe? Atau spotify?,Positif,Pertanyaan
"Ada hoodienya nggak klo ada nitip 1😁👆",Positif,Pertanyaan
Kenapa chloe kalau bikin lagu selalu relate mulu sih?,Positif,Pertanyaan
Yang tengah kapan debut kak?,Positif,Pertanyaan
APA?!! FOTO KAKI?!! DI EKONOMI SEPERTI INI?!!! FOTO KAKI SENA WOW 🔥🔥🔥🔥💯💯💯💯,Positif,Pertanyaan
Kapan lagi dengar sena nyayi🤩🤩?,Positif,Pertanyaan
ADA DAKIMAKURA GAK? AKU MAU BELI HEHEHE,Positif,Pertanyaan
ada yang no sensor gak,Positif,Pertanyaan
Mau sena.. Beli dimana tuh??,Positif,Pertanyaan
kenapa kok suara nya sena kawai banget,Positif,Pertanyaan
Sangat menarik sekali bukan.?? 😂😂,Positif,Pertanyaan
dakimakura atau merchandise baru dari Sena nya kan?,Positif,Pertanyaan
Kak boleh di follow gk?,Positif,Pertanyaan
Ngapain Jari?? Tangan aja sini jadi milikku biar di genggam seharian full 😂😂,Positif,Pertanyaan
Klo aku kasih cincin di jari manis mau nggak chi ?,Positif,Pertanyaan
Bagaimana kabar Totem Megane nya sen wkwkwk?,Positif,Pertanyaan
kenapa gw senyum :),Positif,Pertanyaan
BAJINGAN KENAPA GW SENYUM SENYUM ANJING UDAH GILA GW?? 😂😂,Positif,Pertanyaan
Lu kenapa chi? Alhaitam selingkuh kah?😂😂,Positif,Pertanyaan
Nangis apa ketawa kamu chi? wkwkwk,Positif,Pertanyaan
masa sih chi udah mandi wkwkwk? kok masih bauu? uwu,Positif,Pertanyaan
serius ni chi udah mandi? okelah percaya jadi tambah cantik aja,Positif,Pertanyaan
Hmm Apa iya? Sini aku cium dulu..... 😋🥰,Positif,Pertanyaan
terong kok bisa secantik ini? uwu,Positif,Pertanyaan
terong butuh 100 perak? Boleh ambil saja gak butuh juga😂,Positif,Pertanyaan
detail bibir nya cakep sen suka aku itu pake crayon?,Positif,Pertanyaan
Kabar sena gimana hari ini? 😁,Positif,Pertanyaan
boleh pegang ekornya risu ndak sih?,Positif,Pertanyaan
gemes banget ekornya dijual tidak itu?,Positif,Pertanyaan
risu kamu bisa promosikan tidak ekor kamu aku demen banget?,Positif,Pertanyaan
wkwkwk kenapa sih klo risu ketawa nular ke orang lain?,Positif,Pertanyaan
wkwkwk emang boleh ya sesantai itu?,Positif,Pertanyaan
Emagnya boleh se tidur itu??? 😂😂,Positif,Pertanyaan
Goblok itu singkatan dari Gold Block ya? Baru tau 😂😂,Positif,Pertanyaan
Iya truck mu lecet dikit lah mobil nya apa kabar wkwkwk?,Positif,Pertanyaan
kenapa tawamu berbahaya mbak 🤣,Positif,Pertanyaan
What a squirrel doing? 😂,Positif,Pertanyaan
Lho lho lho lho ga bahaya tah? 🤣🤣,Positif,Pertanyaan
Siapa yang nonton video ini karena thumnailnya ternyata malah kena rickroll wkwkwk,Positif,Pertanyaan
Kamu yang melakukan kabedon? Tapi kok kamu yang malu?😂,Positif,Pertanyaan
kalo aku melakukan kabedon kamu apa kamu bakal menerima perasaanku?,Positif,Pertanyaan
Banting boleh gak soalnya terlalu Kawai?,Positif,Pertanyaan
So cute you wanna marry me 🥰?,Positif,Pertanyaan
Apakah aku melihat bidadari yang turun dari dunia anime? 😍,Positif,Pertanyaan
Siapa yang naburin gula kebanyakan dah?🤣,Positif,Pertanyaan
imut banget kak boleh aku culik🥰?,Positif,Pertanyaan
Siapa anak yang imut di dunia ini?,Positif,Pertanyaan
Who is this? Shes so cute. I wanna marry her,Positif,Pertanyaan
Hei versi full nya mana? 😂,Positif,Pertanyaan
Paling cecil kacamatanya jatoh juga begitu kan cil? 🥰,Positif,Pertanyaan
kenapa gua baru sekarang denger nya yah.. makasih chloe buat lagunya.,Positif,Pertanyaan
Bukan ngegombal tapi hanya mau bilang suara bidadari dari surga yang mana ini?,Positif,Pertanyaan
Kok jadi ikutan nyanyi ya saya? jujur aestetic banget ,Positif,Pertanyaan
yep nice song ketukkan nya liriknya real suara nice lembut i like it Hm...yaaa moga aja ada lanjutan dari lagunya...Pertanyaan: Original song?,Positif,Pertanyaan
lagu buatan sendiri kah? bagus banget!!! kasih lisensi atau free copyright paling engga biar orang ga asal claim nanti asli bagus banget cocok buat orang2 yg suka bikin video aestetic ww...bikin comfy banget lagunya!!,Positif,Pertanyaan
Ini lagu original kah? Btw auto subscribe gara gara lagu ini dan suaranya manis banget cuy. Keep singing Chloe xD,Positif,Pertanyaan
Ini lagu buatan Chloe? Really? Bukan versi cover? Gila nice bgt,Positif,Pertanyaan
Parah uwu sekali 🥰 Btw judul lagunya apa?,Positif,Pertanyaan
Lagu buat sendiri chloe ini???? Good Game!,Positif,Pertanyaan
Uwu banget sih ini Apa gak ada kepinginan diupload di spotify nih mba Chloe?,Positif,Pertanyaan
kenapa kalo chloe itu kayak spesial aja gitu dan beda banget sama yang lain. Apalagi pas Nemu lagu ini rasanya,Positif,Pertanyaan
Entah kenapa ini lagu bisa jadi mood booster gua tapi ya good job chloe 🔥,Positif,Pertanyaan
kenapa aku baru tau please tetep semangat ya chloe parah enak banget lagunya,Positif,Pertanyaan
entah kenapa gw ngakak di lirik 'tiang tiang' wkwkwk,Positif,Pertanyaan
waduh apa ini?? Selamat Cecil!! Cover pertama yang 'bagus' banget!!,Positif,Pertanyaan
Akankah ini menjadi lagu tambahan dari ame full album guys?😂,Positif,Pertanyaan
Ame ame nya mana chi wkwkwk,Positif,Pertanyaan
Kok malah aku suka subtitle nya ya ?,Positif,Pertanyaan
Sena di rumah aku ada kandang kosong kamu mau isi gak?😂,Positif,Pertanyaan
Wah boleh ikut audisi nih? sudah 17 tahun,Positif,Pertanyaan
ini serius kak kamu yang nyanyi? merdu banget,Positif,Pertanyaan
Kak tahun depan bakal ada audisi lagi ga?,Positif,Pertanyaan
Cara bikin video perkenalan dirinya pake muka asli ya?,Positif,Pertanyaan
Pas si kuning debut harus langsung ditanya "anaknya cwo/ cwe?" 😂,Positif,Pertanyaan
Bagus Bagus Tapi Bukankah Terlalu cepat buat mahapanca Nyari Gen 4?,Positif,Pertanyaan
Kak mau tanya bkin video perkenalan dirinya nunjukin muka apa nggak ya?,Positif,Pertanyaan
Pengen juga sih tapi gak bisa gambar gimana tuh?? @memories,Positif,Pertanyaan
Saya mau ikutan tapi saya tidak punya komputer dan laptop apakah bisa?,Positif,Pertanyaan
Deadline pendaftaran kapan? sebentar lagi ulang tahun hehe,Positif,Pertanyaan
petikan nya bagaimana kak chloe?,Positif,Pertanyaan
Apakah masih bisa daftar?,Positif,Pertanyaan
Launching kapan ? Plus ini tersedia cuma di holoidcaf3 atau online admin? Kalo online gas,Positif,Pertanyaan
Sena bisa mendesah? Kok ada ahh nya tdi wkwk🗿,Positif,Pertanyaan
APA INI CAK??!!!! 😂😂😂😂😂,Positif,Pertanyaan
